doi,figshare_id,defined_type_name,date
10.25385/zuyd.16783051.v1,16783051,poster,2021-10-11T14:34:02Z
10.6084/m9.figshare.16769692.v1,16769692,poster,2021-10-11T08:50:35Z
10.23645/epacomptox.16778056.v1,16778056,poster,2021-10-08T22:13:19Z
10.6084/m9.figshare.16778050.v1,16778050,poster,2021-10-08T21:59:28Z
10.23645/epacomptox.16777645.v1,16777645,poster,2021-10-08T18:51:09Z
10.6084/m9.figshare.16775956.v1,16775956,poster,2021-10-08T15:26:23Z
10.25909/16775479,16775479,poster,2021-10-08T13:30:14Z
10.25909/16774867,16774867,poster,2021-10-08T13:06:35Z
10.6084/m9.figshare.16768882.v1,16768882,poster,2021-10-08T07:16:53Z
10.6084/m9.figshare.16677508.v2,16677508,poster,2021-09-24T14:58:11Z
10.6084/m9.figshare.16765027.v1,16765027,poster,2021-10-07T17:36:17Z
10.6084/m9.figshare.16755175.v1,16755175,poster,2021-10-07T16:11:11Z
10.23645/epacomptox.16764067.v1,16764067,poster,2021-10-07T14:01:42Z
10.6084/m9.figshare.16758019.v2,16758019,poster,2021-10-07T08:35:48Z
10.6084/m9.figshare.16752508.v1,16752508,poster,2021-10-07T09:02:31Z
10.6084/m9.figshare.16442001.v1,16442001,poster,2021-10-06T03:05:22Z
10.6084/m9.figshare.16743820.v1,16743820,poster,2021-10-05T13:12:36Z
10.6084/m9.figshare.16740037.v1,16740037,poster,2021-10-05T08:50:14Z
10.6084/m9.figshare.16727344.v3,16727344,poster,2021-10-03T19:13:12Z
10.6084/m9.figshare.16726276.v1,16726276,poster,2021-10-02T15:07:48Z
10.6084/m9.figshare.16726264.v1,16726264,poster,2021-10-02T15:02:05Z
10.17608/k6.auckland.16698307.v2,16698307,poster,2021-09-30T06:06:52Z
10.6084/m9.figshare.16722352.v2,16722352,poster,2021-10-01T13:17:18Z
10.6084/m9.figshare.16715596.v1,16715596,poster,2021-10-01T08:33:21Z
10.6084/m9.figshare.16715587.v1,16715587,poster,2021-10-01T08:27:58Z
10.17608/k6.auckland.16698256.v2,16698256,poster,2021-09-30T06:06:57Z
10.6084/m9.figshare.16715428,16715428,poster,2021-10-01T06:37:20Z
10.6084/m9.figshare.16715386.v1,16715386,poster,2021-10-01T06:24:13Z
10.6084/m9.figshare.16441788.v4,16441788,poster,2021-08-26T00:39:30Z
10.25406/wsu.16713193.v1,16713193,poster,2021-09-30T20:49:41Z
10.17608/k6.auckland.16698310.v2,16698310,poster,2021-09-30T06:06:52Z
10.17608/k6.auckland.16698184.v2,16698184,poster,2021-09-30T06:07:03Z
10.17608/k6.auckland.16698067.v2,16698067,poster,2021-09-30T06:07:05Z
10.17608/k6.auckland.16698250.v2,16698250,poster,2021-09-30T06:06:58Z
10.17608/k6.auckland.16698304.v2,16698304,poster,2021-09-30T06:06:52Z
10.17608/k6.auckland.16704691.v2,16704691,poster,2021-09-30T06:06:33Z
10.17608/k6.auckland.16697971.v1,16697971,poster,2021-09-30T06:07:09Z
10.17608/k6.auckland.16698001.v1,16698001,poster,2021-09-30T06:07:08Z
10.17608/k6.auckland.16698025.v1,16698025,poster,2021-09-30T06:07:08Z
10.17608/k6.auckland.16698013.v1,16698013,poster,2021-09-30T06:07:07Z
10.17608/k6.auckland.16698019.v1,16698019,poster,2021-09-30T06:07:07Z
10.17608/k6.auckland.16698028.v1,16698028,poster,2021-09-30T06:07:06Z
10.17608/k6.auckland.16698058.v1,16698058,poster,2021-09-30T06:07:05Z
10.17608/k6.auckland.16698169.v1,16698169,poster,2021-09-30T06:07:04Z
10.17608/k6.auckland.16698175.v1,16698175,poster,2021-09-30T06:07:03Z
10.17608/k6.auckland.16698187.v1,16698187,poster,2021-09-30T06:07:02Z
10.17608/k6.auckland.16698196.v1,16698196,poster,2021-09-30T06:07:01Z
10.17608/k6.auckland.16698199.v1,16698199,poster,2021-09-30T06:07:01Z
10.17608/k6.auckland.16698208.v1,16698208,poster,2021-09-30T06:06:59Z
10.17608/k6.auckland.16698235.v1,16698235,poster,2021-09-30T06:06:59Z
10.17608/k6.auckland.16698241.v1,16698241,poster,2021-09-30T06:06:59Z
10.17608/k6.auckland.16698262.v1,16698262,poster,2021-09-30T06:06:56Z
10.17608/k6.auckland.16698271.v1,16698271,poster,2021-09-30T06:06:56Z
